ID,표지정보1,표지정보2,지역,지역크기,성별,SQ1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,문9,문10,Q11,Q12,문13,Q13,문15,Q14,Q15,문18_1,문18_2,문18_3,문18_4,문18_5,문18_6,문19_1,문19_2,문19_3,문19_4,문20_1,문20_2,문20_3,문20_4,문20_5,문20_6,문21,문22,Q16,문24_1,문24_2,문24_3,문24_4,Q18,문26,문27_1,문27_2,문27_3,문27_4,문27_5,문27_6,문28_1,문28_2,문28_3,문28_4,문28_5,문29_1,문29_2,문29_3,문29_4,문29_5,문29_6,문29_7,Q19_1,Q19_2,Q19_3,Q19_4,Q20,문32_1,문32_2,문32_3,문32_4,문33_1,문33_2,문33_3,문33_4,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,문40_1,문40_2,문40_3,문40_4,문41,문42_1,문42_2,문42_3,문42_4,문42_5,문42_6,문42_7,문43_1,문43_2,문43_3,문43_4,문43_5,문43_6,문43_7,문43_8,문43_9,문43_10,문44,문45,문46,문47,문48,문49,문50,Q27,문52,문53,문54,문55,문56_1,문56_2,문56_3,문56_4,문56_5,문56_6,문56_7,문56_8,문56_9,문56_10,문56_11,문56_12,D1,D2,D3,D4,D5,D6,D7,D8,D9,가중치
ID,PQ1,PQ2,dem03_raw,dem04,dem01,dem02_01_raw,uni01,uni02,uni03,uni05_12,uni05_03,uni05_04,uni05_05,uni05_02,uni05_06,uni05_07,uni05_09,uni05_10,uni05_11,uni05_08,uni06,uni07,uni08,uni09_01,uni09_02,uni09_03,uni09_04,uni09_05,uni09_06,uni10,uni11,uni12_b,nk01,nk03_02,nk04,nk13,nk05,nk06,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,sk22_03,nkp01_01,nkp01_02,nkp01_03,nkp01_04,nkp03,nkp06,nkp07_01_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp09_01,nkp09_02,nkp09_03,nkp09_04,nkp09_05,int01_01,int01_02,int01_07,int01_08,int01_03,int01_09,int01_10,int02_01,int02_02,int02_03,int02_04,int03,int04_01,int04_02,int04_03,int04_04,sk22_01,sk22_02,sk22_04,sk22_05,int05,int06,int07,int08_01,int08_02,int08_03,int08_04,int09_01,int09_02,int09_03,int09_04,int10_01,int10_02,int10_03,int10_04,int12_01,int12_02,int12_03,int12_04,int13_01,sk02_01,sk02_02,sk02_03,sk02_04,sk02_05,sk02_08,sk02_09,sk05_01,sk05_02,sk05_03,sk05_04,sk05_14,sk05_06,sk05_08,sk05_09,sk05_13,sk05_11,sk09,sk09_01,sk10,sk01_01,sk01,nk12,sk07,sk08,sk18_06,sk23,sk23_01,sk17_02,sk24_01,sk24_02,sk24_03,sk24_04,sk24_05,sk24_06,sk24_07,sk24_08,sk24_09,sk24_10,sk24_11,sk24_12,dem08_raw,dem05,dem07_raw,dem06,dem09_raw,dem10,dem11,dem12,dem13,wt
214 ,1 ,1 ,1 ,1 ,1 ,34 ,2 ,2 ,4 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,1 ,2 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,4 ,3 ,3 ,4 ,3 ,3 ,4 ,4 ,4 ,2 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,4 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,4 ,4 ,3 ,4 ,4 ,3 ,3 ,2 ,1 ,2 ,3 ,2 ,3 ,3 ,4 ,4 ,3 ,4 ,1 ,4 ,4 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,7 ,3 ,3 ,3 ,7 ,1 ,99 ,2 ,2 ,2 ,3 ,4 ,4 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,6 ,2 ,4 ,98 ,5 ,4 ,4 ,2 ,1 ,1.227135134 
215 ,1 ,1 ,1 ,1 ,1 ,39 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,1 ,2 ,3 ,4 ,4 ,3 ,3 ,4 ,4 ,1 ,1 ,2 ,2 ,3 ,2 ,3 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,2 ,3 ,4 ,3 ,4 ,1 ,2 ,2 ,1 ,2 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,4 ,2 ,1 ,2 ,2 ,2 ,1 ,3 ,3 ,4 ,3 ,4 ,4 ,4 ,2 ,1 ,2 ,2 ,2 ,2 ,5 ,5 ,2 ,2 ,5 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,4 ,2 ,2 ,8 ,3 ,3 ,3 ,1 ,1 ,1 ,2 ,2 ,3 ,4 ,4 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,98 ,5 ,4 ,4 ,2 ,8 ,1.227135134 
216 ,1 ,1 ,1 ,1 ,1 ,33 ,4 ,4 ,5 ,2 ,3 ,3 ,2 ,2 ,2 ,1 ,3 ,3 ,2 ,2 ,3 ,3 ,4 ,4 ,4 ,5 ,4 ,5 ,5 ,1 ,1 ,1 ,5 ,4 ,3 ,5 ,3 ,2 ,4 ,4 ,3 ,4 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,1 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,4 ,2 ,1 ,2 ,2 ,2 ,1 ,4 ,3 ,1 ,3 ,3 ,4 ,3 ,2 ,3 ,3 ,5 ,4 ,4 ,4 ,3 ,1 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,1 ,4 ,1 ,1 ,3 ,3 ,3 ,1 ,2 ,3 ,3 ,3 ,4 ,3 ,3 ,1 ,2 ,2 ,2 ,1 ,2 ,4 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,3 ,1 ,1 ,2 ,3 ,2 ,2 ,6 ,3 ,4 ,2 ,7 ,1 ,1 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,3 ,6 ,1 ,4 ,2 ,10 ,3 ,4 ,1 ,8 ,1.227135134 
217 ,1 ,1 ,1 ,1 ,1 ,38 ,2 ,1 ,3 ,3 ,1 ,2 ,3 ,3 ,2 ,1 ,2 ,1 ,2 ,2 ,1 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,1 ,1 ,3 ,99 ,4 ,4 ,3 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,4 ,4 ,3 ,2 ,1 ,3 ,3 ,2 ,3 ,1 ,2 ,5 ,3 ,3 ,4 ,4 ,2 ,3 ,2 ,3 ,4 ,3 ,4 ,4 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,2 ,3 ,3 ,2 ,2 ,3 ,4 ,3 ,3 ,2 ,99 ,1 ,1 ,2 ,3 ,2 ,4 ,3 ,2 ,4 ,4 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,1 ,3 ,4 ,3 ,4 ,3 ,2 ,2 ,1 ,2 ,1 ,3 ,3 ,4 ,3 ,3 ,2 ,1 ,3 ,3 ,1 ,2 ,8 ,4 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,98 ,7 ,4 ,4 ,2 ,1 ,1.227135134 
218 ,1 ,1 ,1 ,1 ,1 ,34 ,2 ,2 ,4 ,2 ,1 ,4 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,4 ,5 ,4 ,5 ,5 ,5 ,1 ,3 ,4 ,4 ,4 ,3 ,4 ,2 ,1 ,3 ,3 ,3 ,4 ,4 ,3 ,2 ,1 ,1 ,2 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,4 ,3 ,4 ,3 ,2 ,1 ,2 ,2 ,3 ,2 ,3 ,2 ,3 ,3 ,1 ,3 ,4 ,1 ,3 ,2 ,3 ,1 ,2 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,4 ,4 ,3 ,3 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,8 ,2 ,2 ,3 ,7 ,1 ,5 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,6 ,1 ,4 ,98 ,10 ,3 ,4 ,2 ,15 ,1.227135134 
219 ,1 ,1 ,1 ,1 ,1 ,33 ,3 ,2 ,5 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,4 ,4 ,5 ,4 ,4 ,5 ,2 ,2 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,4 ,3 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,1 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,1 ,4 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,4 ,3 ,3 ,2 ,1 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,3 ,1 ,3 ,3 ,1 ,3 ,2 ,3 ,1 ,2 ,4 ,3 ,3 ,3 ,4 ,4 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,1 ,1 ,1 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,8 ,3 ,3 ,2 ,1 ,1 ,1 ,2 ,2 ,2 ,3 ,4 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,2 ,4 ,1 ,4 ,98 ,10 ,3 ,3 ,1 ,1 ,1.227135134 
220 ,1 ,1 ,1 ,1 ,1 ,38 ,5 ,4 ,6 ,4 ,2 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 ,3 ,4 ,4 ,5 ,5 ,1 ,1 ,1 ,4 ,2 ,3 ,5 ,2 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,1 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,1 ,4 ,4 ,5 ,4 ,1 ,1 ,4 ,4 ,3 ,4 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,3 ,3 ,1 ,1 ,2 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,1 ,3 ,1 ,1 ,3 ,3 ,3 ,1 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,5 ,3 ,5 ,2 ,5 ,2 ,1 ,1 ,1 ,1 ,2 ,3 ,3 ,3 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,6 ,4 ,2 ,3 ,7 ,1 ,1 ,1 ,2 ,3 ,4 ,4 ,3 ,4 ,3 ,3 ,4 ,3 ,4 ,2 ,2 ,2 ,4 ,98 ,9 ,3 ,3 ,3 ,1 ,1.227135134 
221 ,1 ,1 ,1 ,1 ,1 ,35 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,4 ,3 ,1 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,4 ,5 ,4 ,4 ,1 ,1 ,1 ,4 ,3 ,4 ,4 ,2 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,1 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,4 ,4 ,4 ,4 ,4 ,2 ,4 ,4 ,3 ,4 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,5 ,4 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,1 ,1 ,2 ,3 ,3 ,1 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,1 ,3 ,4 ,4 ,2 ,2 ,3 ,5 ,2 ,5 ,2 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,2 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,7 ,4 ,2 ,3 ,7 ,1 ,1 ,1 ,1 ,2 ,3 ,4 ,4 ,3 ,3 ,3 ,4 ,3 ,3 ,2 ,3 ,1 ,3 ,98 ,7 ,3 ,4 ,3 ,1 ,1.227135134 
222 ,1 ,1 ,1 ,1 ,1 ,33 ,5 ,4 ,5 ,4 ,3 ,3 ,3 ,4 ,3 ,1 ,3 ,4 ,3 ,3 ,3 ,3 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,3 ,1 ,1 ,4 ,3 ,4 ,5 ,1 ,2 ,3 ,3 ,3 ,3 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,1 ,3 ,3 ,4 ,3 ,3 ,2 ,5 ,2 ,2 ,4 ,3 ,1 ,2 ,1 ,2 ,3 ,2 ,3 ,4 ,4 ,3 ,3 ,5 ,3 ,4 ,2 ,3 ,1 ,3 ,2 ,3 ,4 ,3 ,3 ,3 ,4 ,3 ,2 ,1 ,3 ,4 ,1 ,3 ,2 ,3 ,1 ,2 ,3 ,3 ,4 ,3 ,2 ,3 ,1 ,2 ,2 ,3 ,1 ,3 ,4 ,2 ,4 ,5 ,3 ,1 ,1 ,1 ,1 ,2 ,2 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,1 ,1 ,7 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,4 ,2 ,3 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,2 ,4 ,98 ,7 ,3 ,4 ,2 ,1 ,1.227135134 
223 ,1 ,1 ,1 ,1 ,1 ,38 ,1 ,2 ,6 ,3 ,2 ,4 ,2 ,1 ,2 ,1 ,4 ,3 ,3 ,2 ,4 ,1 ,2 ,4 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,3 ,2 ,4 ,4 ,4 ,4 ,1 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,1 ,2 ,1 ,1 ,2 ,2 ,4 ,3 ,2 ,1 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,4 ,5 ,3 ,4 ,3 ,3 ,1 ,3 ,2 ,1 ,3 ,2 ,2 ,4 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,3 ,2 ,3 ,4 ,4 ,1 ,1 ,4 ,5 ,2 ,1 ,3 ,1 ,1 ,1 ,2 ,3 ,1 ,3 ,1 ,3 ,1 ,3 ,3 ,2 ,1 ,1 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,5 ,2 ,3 ,2 ,2 ,1 ,2 ,2 ,1 ,2 ,4 ,1 ,3 ,3 ,3 ,2 ,1 ,7 ,3 ,3 ,4 ,2 ,1 ,2 ,3 ,3 ,3 ,4 ,3 ,3 ,4 ,3 ,3 ,4 ,2 ,3 ,4 ,3 ,2 ,4 ,99 ,10 ,3 ,4 ,1 ,14 ,1.227135134 
224 ,1 ,1 ,1 ,1 ,1 ,26 ,2 ,2 ,3 ,1 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,2 ,2 ,2 ,1 ,2 ,2 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,1 ,2 ,2 ,3 ,4 ,4 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,3 ,2 ,1 ,2 ,2 ,4 ,1 ,2 ,4 ,4 ,5 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,1 ,2 ,2 ,3 ,2 ,1 ,5 ,1 ,2 ,3 ,3 ,1 ,1 ,2 ,2 ,2 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,2 ,2 ,4 ,1 ,4 ,4 ,1 ,1 ,1 ,1 ,3 ,2 ,1 ,3 ,3 ,3 ,3 ,2 ,1 ,2 ,3 ,2 ,2 ,2 ,6 ,3 ,3 ,2 ,1 ,1 ,99 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,10 ,1 ,4 ,98 ,10 ,2 ,3 ,1 ,1 ,1.192142587 
225 ,1 ,1 ,1 ,1 ,1 ,24 ,2 ,2 ,2 ,2 ,1 ,3 ,3 ,2 ,3 ,1 ,2 ,3 ,3 ,2 ,5 ,1 ,2 ,4 ,3 ,4 ,3 ,3 ,4 ,3 ,3 ,1 ,4 ,3 ,2 ,3 ,4 ,2 ,2 ,2 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,4 ,4 ,4 ,4 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,2 ,5 ,4 ,1 ,4 ,2 ,1 ,1 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,3 ,2 ,3 ,2 ,4 ,3 ,2 ,4 ,4 ,3 ,1 ,3 ,1 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,1 ,4 ,4 ,4 ,3 ,5 ,3 ,4 ,3 ,2 ,1 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,3 ,2 ,6 ,3 ,3 ,3 ,7 ,1 ,99 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,10 ,1 ,4 ,1 ,5 ,4 ,5 ,2 ,1 ,1.192142587 
226 ,1 ,1 ,1 ,1 ,1 ,25 ,3 ,2 ,4 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,4 ,4 ,4 ,5 ,5 ,5 ,2 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,3 ,4 ,3 ,3 ,3 ,4 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,2 ,2 ,1 ,1 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,2 ,3 ,2 ,2 ,1 ,2 ,2 ,3 ,3 ,3 ,2 ,4 ,4 ,4 ,4 ,5 ,5 ,5 ,2 ,3 ,3 ,2 ,2 ,2 ,1 ,4 ,4 ,1 ,3 ,4 ,1 ,2 ,3 ,3 ,1 ,2 ,3 ,2 ,3 ,3 ,4 ,3 ,2 ,2 ,3 ,2 ,1 ,3 ,4 ,4 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,1 ,2 ,2 ,2 ,2 ,2 ,8 ,2 ,2 ,4 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,4 ,4 ,3 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,1 ,4 ,98 ,10 ,3 ,4 ,1 ,1 ,1.192142587 
227 ,1 ,1 ,1 ,1 ,1 ,24 ,2 ,2 ,3 ,2 ,1 ,3 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,4 ,3 ,3 ,3 ,5 ,4 ,4 ,5 ,5 ,3 ,2 ,3 ,2 ,3 ,2 ,2 ,3 ,2 ,4 ,3 ,3 ,4 ,3 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,1 ,3 ,4 ,3 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,4 ,3 ,4 ,4 ,4 ,3 ,4 ,2 ,3 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,3 ,3 ,4 ,1 ,2 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,4 ,4 ,4 ,4 ,2 ,3 ,1 ,1 ,2 ,1 ,2 ,2 ,3 ,3 ,2 ,3 ,1 ,1 ,3 ,1 ,1 ,2 ,9 ,3 ,1 ,5 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,4 ,4 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,1 ,4 ,2 ,7 ,4 ,5 ,2 ,1 ,1.192142587 
228 ,1 ,1 ,1 ,1 ,1 ,25 ,4 ,3 ,5 ,2 ,3 ,3 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,1 ,5 ,3 ,3 ,5 ,5 ,4 ,4 ,5 ,5 ,2 ,2 ,1 ,5 ,3 ,2 ,4 ,3 ,2 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,3 ,1 ,2 ,3 ,3 ,1 ,2 ,2 ,1 ,3 ,3 ,3 ,2 ,3 ,2 ,4 ,1 ,2 ,3 ,1 ,2 ,3 ,3 ,4 ,3 ,3 ,4 ,3 ,3 ,4 ,3 ,1 ,1 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,1 ,3 ,1 ,1 ,2 ,2 ,2 ,1 ,2 ,3 ,3 ,4 ,4 ,4 ,4 ,1 ,2 ,3 ,2 ,2 ,1 ,4 ,5 ,3 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,3 ,1 ,1 ,3 ,4 ,1 ,1 ,7 ,2 ,2 ,2 ,7 ,1 ,99 ,2 ,2 ,2 ,2 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,2 ,2 ,10 ,1 ,5 ,98 ,11 ,3 ,3 ,2 ,1 ,1.192142587 
229 ,1 ,1 ,1 ,1 ,1 ,23 ,3 ,3 ,4 ,2 ,2 ,3 ,3 ,3 ,1 ,2 ,3 ,3 ,3 ,1 ,3 ,2 ,3 ,4 ,4 ,5 ,5 ,5 ,5 ,3 ,3 ,3 ,1 ,2 ,3 ,2 ,3 ,2 ,4 ,3 ,4 ,4 ,3 ,2 ,2 ,2 ,1 ,2 ,2 ,1 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,4 ,3 ,2 ,3 ,1 ,3 ,2 ,2 ,4 ,4 ,3 ,3 ,2 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,2 ,3 ,2 ,2 ,2 ,5 ,2 ,2 ,5 ,1 ,3 ,4 ,1 ,1 ,2 ,2 ,1 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,1 ,2 ,3 ,2 ,2 ,5 ,5 ,4 ,2 ,2 ,2 ,1 ,2 ,2 ,1 ,3 ,3 ,3 ,2 ,3 ,1 ,2 ,2 ,2 ,2 ,1 ,7 ,3 ,2 ,4 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,4 ,4 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,1 ,4 ,98 ,9 ,3 ,4 ,2 ,9 ,1.192142587 
230 ,1 ,1 ,1 ,1 ,1 ,29 ,2 ,2 ,5 ,1 ,1 ,3 ,2 ,1 ,2 ,1 ,2 ,1 ,1 ,1 ,5 ,2 ,2 ,2 ,1 ,3 ,4 ,4 ,2 ,1 ,1 ,1 ,2 ,2 ,3 ,4 ,3 ,2 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,1 ,3 ,1 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,3 ,1 ,2 ,3 ,1 ,3 ,2 ,3 ,2 ,3 ,3 ,3 ,4 ,3 ,4 ,3 ,3 ,3 ,1 ,2 ,1 ,3 ,2 ,3 ,1 ,3 ,2 ,3 ,3 ,1 ,3 ,4 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,4 ,4 ,4 ,4 ,2 ,1 ,2 ,2 ,1 ,1 ,1 ,3 ,1 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,1 ,1 ,3 ,3 ,3 ,2 ,6 ,2 ,3 ,3 ,7 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,3 ,1 ,3 ,98 ,8 ,4 ,4 ,2 ,1 ,1.192142587 
231 ,1 ,1 ,1 ,1 ,1 ,21 ,2 ,1 ,4 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,5 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,2 ,2 ,3 ,3 ,4 ,3 ,1 ,4 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,4 ,3 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,4 ,4 ,4 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,2 ,3 ,4 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,5 ,5 ,5 ,5 ,1 ,2 ,2 ,2 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,7 ,3 ,3 ,3 ,4 ,1 ,4 ,2 ,2 ,2 ,3 ,4 ,4 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,10 ,1 ,4 ,98 ,8 ,3 ,4 ,2 ,1 ,1.192142587 
