ID,TARA,ARA,SIZ,SEX,TSQ1,SQ1,Q2,Q3,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_5,Q5_2,Q5_3,문5_9,문5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,문10,문11,Q11,Q12,문14,Q13,문16,Q14,Q15,문19_1,문19_2,문19_3,문19_4,문19_5,문19_6,문20_1,문20_2,문20_3,문20_4,문21_1,문21_2,문21_3,문21_4,문21_5,문22,문23,문24,문25,문26,Q18,문28,문29_1,문29_2,문29_3,문29_4,문29_5,문29_6,문30_1,문30_2,문30_3,문30_4,문30_5,문31_1,문31_2,문31_3,문31_4,문31_5,문31_6,Q19_1,Q19_2,Q19_3,Q19_4,Q20,문34_1,문34_2,문34_3,문34_4,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,문41_1,문41_2,문41_3,문41_4,문42,문43_1,문43_2,문43_3,문43_4,문43_5,문43_6,문44_1,문44_2,문44_3,문44_4,문44_5,문44_6,문44_7,문44_8,문45,문46,문47,문48,문49,Q27,문51,문52,문53_1,문53_2,문53_3,TD1,D1,D2,TD3,D3,D4,TD5,D5,D6,D7,D8,D9,
"1,061",2,10,2,1,5,61,3,2,1,2,2,3,2,2,2,2,1,1,2,3,5,2,3,5,4,4,3,4,4,2,2,1,2,2,3,4,2,2,4,3,3,4,4,2,2,2,2,2,3,2,3,3,3,1,2,5,2,2,3,4,3,4,4,2,3,3,3,4,2,3,3,2,3,3,2,3,3,4,4,3,4,2,3,2,3,3,1,3,1,1,1,2,3,1,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,2,1,2,3,1,1,1,1,1,3,2,7,3,3,3,5,2,2,3,2,3,5,2,1,2,2,2,5,5,6,2,10,0.67
"1,062",2,10,2,2,5,60,4,3,6,4,3,3,2,2,2,2,3,2,3,3,3,3,3,4,3,4,5,5,5,3,1,1,2,4,2,5,1,2,4,4,3,4,4,3,2,2,2,2,1,1,2,2,2,3,1,5,4,4,3,4,4,4,4,3,2,3,2,2,2,4,3,4,4,5,5,4,4,2,2,2,1,3,3,3,3,3,1,3,2,1,3,2,2,1,4,3,3,4,3,3,2,3,3,3,3,1,3,3,1,2,4,2,2,4,2,1,2,1,2,2,2,2,7,3,2,4,1,3,4,4,4,4,6,2,1,2,2,4,9,3,3,1,10,0.73
"1,063",2,10,3,2,5,64,4,3,6,3,3,3,3,3,3,1,2,4,1,1,3,4,4,4,4,4,5,5,5,3,3,2,4,3,3,4,3,2,4,3,3,3,4,2,2,2,2,2,1,1,2,2,4,2,1,3,3,2,2,3,3,3,2,3,2,3,1,4,4,2,2,2,2,2,2,4,4,3,4,2,2,2,2,3,3,2,1,3,2,1,2,3,3,1,3,3,2,3,3,3,3,1,2,2,2,2,2,2,2,5,5,2,1,3,2,2,2,1,2,2,2,2,8,2,3,3,1,2,2,2,2,2,2,2,2,3,2,4,10,3,3,2,8,0.73
"1,064",2,10,2,2,5,60,1,2,5,3,3,2,3,3,2,1,3,2,2,3,1,3,4,4,5,5,4,5,5,1,1,2,1,2,4,5,2,4,4,4,3,4,3,2,2,2,2,2,2,1,1,1,1,1,4,3,3,2,3,2,3,4,2,2,3,3,2,2,3,3,3,3,4,2,3,3,3,3,4,3,3,1,2,2,3,2,4,1,1,1,2,3,3,1,2,3,3,1,2,3,3,2,2,3,3,2,2,2,2,3,3,2,1,2,2,1,1,1,1,1,4,2,7,4,3,3,5,2,2,3,3,2,2,2,2,3,1,3,7,3,4,3,10,0.73
"1,065",2,10,2,2,5,62,2,2,3,2,3,1,2,2,2,2,2,1,2,2,1,3,4,5,5,5,5,5,5,2,2,1,2,3,4,2,2,3,4,3,3,3,3,2,2,2,2,2,3,1,1,1,1,1,3,2,3,4,2,2,3,2,1,3,2,2,2,3,3,3,3,3,4,3,4,3,3,4,4,3,3,2,3,2,3,3,1,3,1,2,2,3,3,1,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,1,1,1,1,2,1,2,3,1,6,4,3,3,1,2,3,2,2,5,9,4,1,1,98,4,9,3,4,3,10,0.73
"1,066",2,10,2,2,5,65,1,2,3,2,2,2,2,3,2,2,2,3,3,2,1,2,3,3,3,3,3,3,4,3,1,2,2,2,2,3,3,2,3,4,3,3,4,3,1,2,2,2,1,2,2,3,3,2,2,5,2,2,2,2,2,2,3,2,3,1,2,3,2,2,3,3,2,2,3,3,3,3,4,4,3,2,2,3,3,2,3,1,1,1,1,3,3,1,2,3,3,2,2,3,3,1,2,2,2,4,5,2,5,5,5,2,3,3,3,2,3,2,3,3,2,2,8,2,2,3,5,2,3,3,2,2,2,2,1,2,3,1,3,3,3,2,10,0.73
"1,067",2,11,2,1,1,28,3,3,3,2,2,2,3,3,2,3,2,3,3,2,3,3,4,4,2,3,4,3,4,3,3,1,3,3,3,3,2,2,3,4,3,3,4,3,2,2,2,2,1,2,1,2,3,2,3,4,2,3,2,3,3,3,2,2,3,3,3,2,3,3,2,2,2,3,2,4,3,4,3,3,3,1,2,3,2,3,4,2,2,1,1,2,2,1,1,2,2,2,2,3,3,2,2,2,2,4,3,4,3,2,2,3,2,2,1,2,2,2,3,2,4,3,5,1,3,2,3,4,3,2,4,4,6,1,3,4,98,4,10,2,3,1,11,0.90
"1,068",2,11,2,1,1,28,2,2,4,3,3,2,2,2,2,3,3,3,3,3,1,1,3,4,3,4,3,3,3,2,3,3,3,2,3,2,1,2,2,3,4,4,4,4,2,2,1,2,2,1,3,1,2,1,1,1,3,3,3,2,4,2,4,4,4,5,2,3,3,3,3,3,4,2,3,4,4,4,4,4,2,1,3,3,2,3,3,3,2,1,1,2,2,1,1,2,2,2,2,3,3,2,2,3,2,2,3,3,4,4,4,2,2,3,2,4,3,1,2,1,4,2,9,2,2,4,2,4,2,2,3,1,1,1,3,4,2,4,9,3,3,2,11,0.90
"1,069",2,11,2,1,1,19,3,2,4,2,2,2,2,3,2,2,2,3,2,2,1,3,3,4,4,2,4,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,1,1,2,3,3,2,2,3,2,2,3,2,2,2,4,2,2,2,1,2,2,2,3,2,3,4,4,4,5,3,3,3,3,1,2,2,3,2,3,3,1,1,2,3,2,1,2,3,2,3,3,4,3,2,2,4,3,4,1,3,4,1,1,1,2,2,1,1,1,1,2,1,3,2,3,4,3,3,5,3,2,3,3,6,10,1,3,4,98,4,9,3,4,2,11,0.90
"1,070",2,11,2,1,1,25,3,3,6,3,3,3,2,3,3,2,2,3,3,2,1,3,3,5,4,3,4,4,4,3,3,1,4,3,4,5,4,2,3,2,3,3,4,3,2,1,2,2,1,1,2,3,3,1,1,4,3,3,2,3,3,3,2,3,3,2,1,3,3,3,3,4,4,4,3,5,5,2,2,2,2,3,3,3,3,2,1,3,2,1,2,4,3,1,2,3,2,2,3,4,3,2,3,4,3,2,5,5,5,2,2,5,2,2,2,1,2,1,2,2,3,1,4,2,3,3,5,2,3,3,3,3,3,1,2,3,98,3,8,3,4,2,11,0.90
"1,071",2,11,2,1,1,21,2,2,3,4,2,2,4,4,3,2,3,4,1,1,2,2,2,5,5,3,4,5,3,1,2,1,4,4,4,4,3,3,2,1,3,1,4,4,2,1,1,2,1,1,3,2,2,2,1,2,4,4,3,5,5,3,2,5,1,2,2,3,4,2,5,2,3,3,3,3,3,3,3,3,3,2,3,2,4,1,3,4,3,1,3,2,2,1,3,3,3,1,3,2,2,1,4,2,2,2,2,2,5,2,2,3,1,3,2,1,3,1,2,1,2,2,7,3,2,4,5,3,1,4,5,6,12,1,2,3,2,4,11,3,3,3,11,0.90
"1,072",2,11,2,2,1,28,3,2,2,3,2,2,3,4,2,2,2,3,3,3,1,3,3,3,3,3,4,4,4,1,1,1,2,3,3,3,2,2,3,4,3,3,4,2,2,2,2,2,2,2,2,3,4,1,2,2,2,3,3,2,3,3,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,3,3,3,3,2,4,3,2,2,2,3,3,3,3,4,4,3,3,3,3,2,2,3,3,2,3,4,3,2,2,3,2,3,1,2,3,2,2,2,3,2,8,2,3,1,3,3,3,3,3,3,3,1,3,4,98,3,7,4,4,2,11,0.97
"1,073",2,11,2,2,1,20,3,2,3,3,1,1,1,2,3,3,1,3,1,2,3,3,3,1,2,2,3,2,3,2,3,2,1,3,3,4,1,1,2,1,1,2,3,1,2,1,2,2,2,1,3,2,2,1,1,1,2,2,2,1,2,1,3,1,1,5,1,2,3,3,3,2,3,3,1,3,1,3,3,3,2,1,3,4,2,1,1,3,4,1,2,3,2,1,4,3,3,2,2,3,2,1,2,3,2,2,3,3,2,2,2,1,1,4,2,1,2,1,1,2,3,1,8,1,2,2,5,3,2,3,2,6,10,1,3,4,2,4,10,3,3,2,11,0.97
"1,074",2,11,2,2,1,20,3,3,3,2,2,2,2,3,2,2,2,3,2,2,4,3,3,5,5,2,3,3,4,3,1,1,4,3,4,4,3,3,3,3,2,3,4,2,2,2,2,2,1,1,2,3,3,3,2,2,2,2,3,2,2,2,3,3,2,3,1,2,2,2,2,3,3,3,3,4,4,3,3,3,2,1,2,2,3,2,3,3,4,2,2,2,2,3,3,3,3,3,3,4,3,2,2,3,2,4,1,4,4,1,1,1,2,2,1,1,2,1,1,1,4,3,3,3,3,3,5,3,2,3,3,6,10,1,3,4,98,4,9,3,4,2,11,0.97
"1,075",2,11,2,2,1,24,2,1,3,3,3,4,2,1,2,2,3,3,2,2,5,2,2,4,5,2,4,5,1,1,1,1,4,3,3,4,3,3,3,3,3,3,4,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,1,3,3,2,2,3,3,3,3,4,4,2,2,2,2,2,3,2,3,2,3,3,1,1,2,4,3,1,2,3,3,3,3,4,3,2,2,3,3,4,2,4,4,2,2,2,2,2,2,2,2,1,2,2,3,2,7,3,3,3,3,3,3,4,4,6,10,1,3,4,1,4,10,3,3,1,11,0.97
"1,076",2,11,3,1,2,37,3,3,4,3,2,2,2,3,3,2,2,3,2,2,3,3,4,3,3,3,4,2,4,1,2,1,2,2,3,3,2,2,4,3,3,4,4,3,2,2,2,2,2,2,2,3,2,2,2,5,2,2,3,5,2,2,4,2,2,2,2,2,2,2,3,3,3,3,2,4,4,4,4,4,3,1,2,2,3,3,1,3,2,1,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,4,2,3,3,2,2,2,2,2,2,1,1,2,3,2,3,3,6,2,3,3,5,3,4,2,3,3,3,2,2,3,98,4,9,4,4,2,11,0.93
"1,077",2,11,2,1,2,38,2,3,2,3,2,2,3,3,3,2,2,4,2,2,3,3,3,3,3,4,4,4,3,2,2,1,3,2,3,3,3,3,3,4,4,3,4,3,2,2,2,2,2,2,1,3,3,2,2,1,2,3,2,3,3,3,2,4,3,3,1,2,3,3,3,3,3,3,2,3,3,4,3,3,2,2,2,3,3,2,4,3,2,1,2,2,3,3,4,4,3,3,3,3,3,2,2,2,2,4,3,3,3,2,2,3,2,2,3,2,2,3,2,2,4,2,7,2,3,2,2,3,3,2,3,4,6,2,3,4,98,3,8,3,3,2,11,0.93
"1,078",2,11,2,1,2,39,2,3,5,3,3,2,2,3,2,2,1,2,1,3,1,2,3,3,3,4,4,3,3,2,2,2,4,2,2,2,1,1,4,3,4,4,4,2,2,2,1,2,1,1,2,1,3,2,3,2,2,2,2,3,2,3,4,3,3,3,3,4,3,3,3,3,2,4,4,5,5,3,3,3,3,2,3,2,2,2,4,3,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,3,3,3,4,3,3,3,4,2,1,1,1,2,3,3,3,6,2,3,2,5,4,3,3,4,3,4,3,2,3,98,3,7,3,4,2,12,0.93
"1,079",2,11,2,1,2,37,4,2,5,2,2,2,2,3,2,2,2,3,3,2,5,3,3,3,4,2,4,4,4,2,1,1,4,3,3,4,3,4,3,3,3,3,4,3,2,2,2,2,1,1,2,3,3,3,2,3,3,2,3,2,2,2,4,2,2,2,2,3,2,2,2,3,3,4,4,5,5,3,3,3,3,1,2,2,3,2,3,3,1,1,2,3,2,1,2,3,2,4,4,4,4,2,2,3,3,4,2,3,3,1,1,1,2,2,1,1,2,1,1,1,3,3,4,4,4,3,5,3,2,4,3,3,5,2,2,3,98,3,7,3,4,2,11,0.93
"1,080",2,11,2,1,2,31,4,3,5,2,2,2,2,3,3,2,3,3,2,1,1,3,3,4,4,2,4,3,3,1,3,1,4,3,4,4,3,3,3,3,3,3,4,3,2,1,2,2,2,1,2,3,3,2,1,4,3,3,2,2,3,3,4,3,2,3,2,3,3,3,3,3,3,4,3,4,5,3,3,2,2,1,2,2,3,2,1,3,1,1,2,3,2,1,2,3,2,4,4,4,4,2,2,3,2,4,2,4,4,2,2,2,2,2,2,1,2,1,2,2,3,2,6,3,3,3,5,3,3,3,4,3,3,1,2,3,98,4,9,3,4,2,11,0.93
"1,081",2,11,2,1,2,36,1,2,4,2,3,1,2,4,2,1,1,4,2,2,5,1,1,5,5,5,5,5,5,3,1,1,4,3,3,4,3,2,3,3,3,4,4,4,2,1,1,2,1,1,2,3,3,1,1,1,2,2,3,2,1,3,4,3,2,1,2,2,2,2,2,3,5,4,3,4,3,3,3,3,4,1,2,3,3,2,1,3,3,1,2,2,1,3,3,3,3,3,3,3,3,1,1,3,2,1,1,4,4,1,2,2,2,2,2,2,2,1,2,2,3,3,8,2,2,3,2,4,2,3,4,4,6,2,3,4,3,3,7,4,5,4,5,0.93
"1,082",2,11,3,2,2,30,4,2,5,4,3,2,3,3,2,2,2,4,2,2,3,2,2,3,3,3,3,3,3,2,1,1,5,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,4,2,3,3,3,3,2,3,3,2,3,3,4,4,4,4,1,2,2,3,2,1,3,1,1,2,2,1,1,2,3,1,2,3,3,2,2,2,2,2,1,2,5,5,3,5,3,3,3,2,2,2,2,3,2,3,2,7,2,3,3,5,3,2,3,2,4,6,1,3,4,2,4,10,3,4,1,11,0.83
"1,083",2,11,2,2,2,39,4,2,2,3,2,2,3,3,2,3,3,3,2,2,3,3,4,3,3,4,4,4,3,3,3,2,2,3,3,3,3,2,3,4,3,3,4,3,2,2,2,2,2,2,2,1,2,2,2,3,3,3,2,3,3,3,2,3,4,3,3,3,4,4,3,3,3,3,2,3,3,4,4,3,3,1,2,3,3,2,4,2,2,1,2,3,3,1,2,2,3,3,3,3,3,2,2,2,3,2,4,3,2,3,3,4,2,2,2,3,3,2,2,2,2,2,6,2,3,2,2,3,3,2,3,5,9,2,2,3,98,4,10,3,3,1,15,0.83
"1,084",2,11,2,2,2,33,3,4,6,4,4,3,2,3,3,3,2,3,1,3,5,2,3,3,3,4,4,4,4,3,2,2,5,3,3,4,4,1,4,4,4,4,4,3,2,2,2,2,1,1,3,1,1,1,1,4,2,2,3,4,3,1,1,2,5,5,2,4,3,2,2,3,2,2,1,3,3,3,3,3,1,3,3,1,1,3,1,3,3,1,1,3,3,1,1,1,1,1,2,2,2,2,2,2,2,1,3,3,3,4,3,3,1,3,2,1,2,2,2,1,3,2,8,1,3,3,1,3,3,5,4,3,4,1,2,3,98,1,4,3,5,1,12,0.83
"1,085",2,11,2,2,2,36,2,2,2,1,1,1,1,3,1,1,1,2,2,1,1,2,2,3,4,1,3,3,3,3,1,1,1,2,3,3,3,4,3,2,2,3,3,3,2,2,2,2,1,1,3,3,3,3,2,1,1,1,4,1,1,1,5,1,1,4,2,3,2,2,1,2,2,3,3,4,5,4,4,3,3,1,1,1,4,3,3,1,1,3,3,3,3,3,2,3,3,4,4,4,4,3,3,4,3,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,1,3,5,3,2,4,2,2,2,2,3,4,3,4,10,3,3,2,11,0.83
"1,086",2,11,2,2,2,38,1,1,3,1,1,1,1,4,1,1,1,2,1,1,1,2,2,4,4,2,3,3,3,3,1,1,1,2,3,3,3,4,3,3,2,3,3,3,2,2,2,2,1,1,3,3,3,3,3,1,1,1,4,1,1,1,5,1,1,5,1,2,2,2,2,2,2,3,3,5,5,4,4,4,4,1,1,1,4,2,3,1,1,4,2,4,2,3,2,3,4,4,3,4,3,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,2,2,2,4,2,4,2,5,9,2,3,4,2,3,8,3,4,2,11,0.83
"1,087",2,11,2,2,2,36,3,2,3,2,2,2,2,3,2,2,2,3,2,1,5,3,3,3,3,3,4,4,4,3,2,3,2,3,2,4,3,2,4,3,4,3,4,2,2,2,1,2,1,1,1,1,1,2,1,4,1,2,3,2,4,2,2,1,1,3,1,2,2,2,2,3,3,3,3,3,3,3,4,1,1,1,2,2,2,1,1,3,1,1,1,2,1,1,3,1,3,2,3,2,2,2,2,2,2,1,4,4,4,4,4,1,1,3,3,2,2,2,3,2,4,1,8,2,2,4,2,4,3,2,4,4,6,2,3,4,98,1,4,2,3,1,11,0.83
"1,088",2,11,3,1,3,48,2,2,5,2,2,1,1,3,1,1,1,4,1,1,1,3,4,3,3,4,4,3,2,1,2,1,1,3,4,3,2,2,3,3,3,3,4,3,2,2,2,2,1,1,2,3,2,2,1,1,1,1,4,1,1,1,4,1,1,3,1,2,2,2,4,3,4,3,2,4,4,4,4,4,3,1,2,2,3,3,1,4,1,1,3,2,3,1,2,3,2,3,3,3,3,1,1,2,2,4,1,4,4,1,1,1,2,1,2,2,1,1,3,2,3,3,4,2,2,2,2,4,2,3,2,4,6,2,3,4,2,4,10,3,3,2,11,0.89
"1,089",2,11,3,1,3,47,2,4,4,2,2,2,1,2,2,2,1,3,1,2,1,3,3,4,3,3,4,3,2,3,2,1,1,3,4,3,2,2,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,4,2,1,3,2,2,2,2,2,3,3,3,2,4,4,4,4,4,4,1,2,2,3,3,1,3,2,1,3,2,3,1,2,3,3,3,3,3,3,2,1,2,2,4,1,4,4,2,2,2,2,2,1,1,1,1,3,2,3,3,7,2,2,3,5,3,3,4,2,3,5,2,2,3,98,4,10,4,4,2,11,0.89
"1,090",2,11,2,1,3,40,2,3,3,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,3,4,4,3,3,3,3,2,3,2,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,4,4,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,1,4,2,1,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,4,2,2,3,2,2,2,2,3,3,2,3,3,2,5,3,3,2,2,3,3,3,3,4,6,2,3,4,98,3,7,3,4,2,10,0.89
"1,091",2,11,2,1,3,48,1,1,2,2,1,1,3,4,1,1,3,1,1,2,2,1,2,3,1,1,4,2,4,3,1,3,2,2,2,3,1,3,3,2,2,2,3,2,2,1,1,2,2,1,2,3,4,3,2,3,2,2,3,1,1,1,5,1,3,5,4,4,1,1,2,1,1,3,3,4,4,5,5,5,3,1,1,1,4,2,3,2,1,1,2,2,1,1,2,3,2,3,3,3,4,1,2,2,1,3,2,2,2,1,1,2,1,2,2,2,3,2,3,2,3,1,8,3,3,2,5,3,1,3,3,4,6,2,3,4,2,4,10,2,3,2,6,0.89
"1,092",2,11,2,1,3,45,2,2,3,3,3,3,2,3,2,1,3,3,2,2,1,3,3,4,5,3,4,4,4,3,1,1,4,3,3,4,4,3,2,3,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,3,3,4,2,3,1,3,3,3,2,2,3,3,3,4,5,3,3,3,2,2,2,2,3,2,1,3,1,1,2,3,2,1,2,3,2,4,4,4,4,2,2,3,2,4,2,4,3,2,1,2,2,1,1,1,1,1,1,1,4,3,6,2,3,4,5,3,2,3,4,2,2,2,2,3,98,3,8,3,4,2,11,0.89
"1,093",2,11,2,1,3,48,3,1,3,1,1,2,1,3,2,1,1,2,2,1,1,2,2,3,4,2,3,3,3,3,1,1,2,3,4,4,3,3,3,3,2,3,4,3,2,1,2,2,1,1,2,3,3,3,2,3,2,2,3,2,2,1,4,2,2,3,2,2,2,2,2,3,3,3,3,4,5,4,4,4,4,1,2,2,3,2,3,4,1,3,3,4,3,3,3,3,4,2,3,3,3,2,2,4,3,1,2,3,4,2,2,2,2,1,1,1,1,1,1,1,4,3,4,3,2,3,2,4,1,3,2,3,4,2,2,3,98,3,7,3,4,2,11,0.89
"1,094",2,11,2,1,3,42,3,3,3,2,2,2,2,2,2,3,2,3,2,3,1,2,3,3,3,2,3,4,3,3,3,1,2,2,4,4,2,2,3,3,3,3,3,3,2,2,2,2,2,1,1,2,1,1,1,5,2,2,2,4,3,3,2,3,3,2,2,2,2,2,2,3,4,3,4,3,4,3,3,2,2,1,3,3,3,2,1,3,1,1,2,2,2,1,2,1,2,2,4,2,4,1,2,2,2,2,5,5,5,5,5,2,1,1,1,1,1,1,1,2,2,2,3,2,3,3,5,4,2,2,2,4,6,2,3,4,2,3,7,3,4,2,1,0.89
"1,095",2,11,3,2,3,40,3,3,4,4,4,4,3,3,3,3,2,3,2,2,1,4,4,3,3,4,4,3,3,3,1,1,5,4,4,3,2,2,4,4,3,4,4,3,2,2,2,2,2,1,2,3,2,2,2,4,4,4,2,2,4,4,2,4,2,2,1,2,3,3,3,4,4,4,4,5,5,3,3,2,2,1,3,3,2,2,1,3,2,1,3,3,3,1,2,4,4,2,3,3,3,2,2,2,2,4,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,3,6,2,4,3,5,3,4,2,4,2,2,2,2,3,99,3,7,3,4,3,11,0.91
"1,096",2,11,2,2,3,43,3,2,1,2,3,3,2,3,2,2,2,3,3,2,3,3,3,2,3,4,4,2,2,3,3,1,4,3,3,3,2,2,3,4,4,3,4,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,2,3,4,2,3,3,2,2,2,2,3,2,3,3,4,4,3,3,1,3,2,2,2,4,3,1,2,2,3,3,1,2,3,4,2,3,3,3,2,2,2,3,1,3,4,3,2,3,3,2,2,1,2,2,2,3,2,4,2,8,3,3,2,2,3,3,2,3,4,6,2,2,3,98,4,10,2,3,1,11,0.91
"1,097",2,11,2,2,3,40,2,2,3,2,2,2,1,2,2,2,3,2,3,3,1,3,2,3,2,4,3,3,2,1,1,2,1,2,2,3,2,2,3,3,4,3,3,2,2,1,2,2,2,1,3,2,3,2,2,4,2,2,2,2,2,1,4,4,5,5,1,3,3,3,3,2,2,2,3,3,3,4,4,1,3,1,2,2,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,2,3,2,1,1,2,1,1,2,2,2,1,2,2,9,2,2,4,2,2,3,3,3,2,2,2,2,3,2,3,8,3,3,1,11,0.91
"1,098",2,11,2,2,3,48,1,1,3,3,2,2,2,3,1,1,1,2,1,1,4,2,2,3,4,1,3,3,3,3,1,1,1,2,3,3,1,2,3,2,2,3,4,3,2,1,2,2,1,1,3,3,4,3,2,1,1,1,4,1,1,1,5,1,1,1,1,2,1,2,1,2,2,3,3,4,4,5,5,5,4,1,1,1,4,3,3,2,1,2,2,2,2,3,3,3,3,4,4,4,3,3,3,4,3,1,1,4,4,1,1,1,2,2,1,1,2,1,1,1,4,2,3,2,2,2,2,4,1,4,2,2,2,2,3,4,98,4,10,3,3,2,11,0.91
"1,099",2,11,2,2,3,43,2,1,2,1,1,1,1,4,1,1,1,2,2,1,1,2,2,4,4,1,3,3,2,3,1,1,1,3,3,3,3,3,3,2,2,3,4,2,2,1,2,2,1,1,3,3,3,3,2,1,1,1,4,1,1,1,5,1,1,3,1,1,1,1,3,2,2,3,3,4,5,4,4,4,3,1,2,1,3,2,3,3,1,2,3,4,2,3,2,3,2,3,3,4,3,3,3,4,3,1,1,4,4,1,2,1,2,1,1,1,1,1,1,1,4,2,2,2,2,3,5,3,2,4,2,5,9,2,2,3,98,3,7,3,4,2,11,0.91
"1,100",2,11,2,2,3,44,2,2,5,4,3,4,2,2,2,2,2,3,2,2,3,2,3,4,5,4,4,5,5,3,1,1,2,3,4,4,4,2,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,2,4,3,3,3,4,4,3,2,2,2,1,4,4,2,2,4,4,4,4,4,4,2,2,2,2,1,2,2,2,2,1,3,1,1,1,2,1,1,3,3,3,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,2,3,2,2,4,2,2,2,3,3,2,3,4,98,4,11,3,4,1,12,0.91
"1,101",2,11,3,1,4,52,3,3,3,4,4,4,2,2,2,2,1,4,1,1,1,4,4,4,3,4,4,4,4,3,1,1,4,4,4,3,2,2,4,4,3,4,4,4,2,2,2,2,1,1,2,2,2,2,2,4,4,4,2,2,5,5,2,3,3,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,1,3,3,2,2,1,3,2,1,3,3,3,3,3,3,3,3,3,4,3,2,2,3,3,1,2,3,3,5,5,2,3,3,2,1,1,1,3,2,3,2,8,2,3,4,1,2,4,2,3,3,5,2,2,3,98,3,8,5,5,3,11,0.94
"1,102",2,11,2,1,4,51,3,4,2,3,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,4,4,4,3,3,2,5,2,3,3,3,2,3,3,4,3,4,3,2,2,2,2,2,2,1,3,3,2,3,2,2,3,2,4,3,3,2,2,3,4,2,3,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,3,2,2,1,3,2,1,1,2,2,1,1,2,3,2,3,3,4,2,2,2,2,4,3,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,8,2,3,3,2,3,3,3,3,2,2,2,2,3,1,3,7,4,4,2,11,0.94
"1,103",2,11,2,1,4,51,1,2,4,3,1,2,1,3,2,2,2,4,1,2,1,1,2,3,4,2,4,3,4,3,3,2,2,2,2,2,2,2,3,3,3,3,4,3,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,5,4,3,3,3,4,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,3,3,4,2,4,3,4,1,2,3,3,1,3,3,2,3,3,3,3,1,1,2,2,3,2,2,2,2,2,2,2,3,3,2,3,1,3,3,2,2,8,3,3,3,5,2,3,3,3,4,6,2,2,3,2,3,7,3,4,3,11,0.94
"1,104",2,11,2,1,4,51,3,2,3,4,2,3,2,3,2,1,3,3,2,1,1,2,2,4,4,2,3,3,3,3,1,1,1,3,3,4,3,2,3,2,2,3,3,3,2,1,2,2,2,2,3,3,3,2,2,4,3,3,3,2,3,3,2,4,2,3,2,3,3,2,2,3,3,4,3,5,5,4,4,4,4,1,2,2,3,2,1,3,1,1,2,3,2,1,2,3,2,3,3,3,3,2,2,4,2,4,2,2,3,3,2,2,2,2,1,1,1,1,2,1,3,2,6,1,2,4,5,3,3,3,4,2,2,2,2,3,2,3,8,3,4,2,10,0.94
"1,105",2,11,2,1,4,51,1,2,4,3,2,2,2,3,2,2,2,3,2,2,1,4,3,4,4,3,4,3,3,3,1,1,4,4,4,4,4,2,2,2,2,2,4,3,2,1,2,2,1,1,3,3,3,2,1,4,3,3,3,2,3,2,3,3,2,2,1,2,2,3,3,3,3,4,4,5,5,3,3,3,2,3,3,3,3,2,3,1,1,3,3,4,3,3,2,3,4,4,4,4,3,3,3,3,3,4,2,5,3,2,5,2,2,2,1,1,1,1,1,1,4,2,3,2,3,4,1,2,3,3,3,3,5,2,2,3,98,2,6,4,4,2,11,0.94
